









Frequency of observations in the selected location(s).:
Number of taxa: 	262

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Black Vulture	0.4444444	0.04	0.1153846	0.2105263	0.3333333	0.0	0.1304348	0.375	0.3333333	0.5	0.1818182	0.4444444	0.0	0.0	0.1904762	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.3636364	0.2	0.0	0.5	0.5	0.7142857	0.6666667	0.0909091	0.3333333	1.0	0.0	0.0	1.0	0.3	0.3	0.2222222	0.4	1.0	0.3333333	0.0	0.25	0.0	
Turkey Vulture	0.3333333	0.24	0.1153846	0.1052632	0.25	0.0	0.1304348	0.125	0.6666667	0.0	0.0909091	0.2222222	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.1818182	0.0015	0.0	0.5	0.5	0.4285714	0.6666667	0.0909091	0.2222222	1.0	0.0	0.0	0.0	0.0	0.1	0.1111111	0.0	1.0	0.1666667	0.0	0.25	0.0015	
Greater Yellow-headed Vulture	0.2222222	0.04	0.0769231	0.1052632	0.25	1.0	0.0434783	0.0	0.3333333	0.3333333	0.0	0.4444444	0.0	0.0	0.047619	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1818182	0.0	0.0	0.0	1.0	0.0015	0.6666667	0.0	0.2222222	0.0015	0.0	0.0	0.0	0.1	0.1	0.1481481	0.6	1.0	0.0	0.0	0.0	0.0	
Hook-billed Kite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swallow-tailed Kite	0.0	0.0	0.0	0.0526316	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0015	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0015	0.0015	0.5	0.1428571	0.6666667	0.0	0.0015	0.0	0.0	0.0	0.0	0.1	0.1	0.0740741	0.4	1.0	0.0	0.0	0.0	0.0	
Plumbeous Kite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222	0.0	0.25	0.0952381	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1818182	0.2	0.0015	0.0	0.0	0.1428571	0.0	0.0	0.2222222	0.0	1.0	0.0	0.0	0.0	0.1	0.037037	0.2	0.0	0.0	0.0	0.0	0.0	
Roadside Hawk	0.3333333	0.08	0.1538462	0.2105263	0.3333333	0.0	0.2173913	0.5	0.3333333	0.5	0.0909091	0.4444444	0.0	0.25	0.1904762	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.2727273	0.2	0.0015	0.0015	0.5	0.2857143	0.6666667	0.1818182	0.3333333	1.0	1.0	0.0	0.0	0.3	0.3	0.2222222	0.4	1.0	0.1666667	0.0	0.25	0.0015	
White-throated Screech-Owl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Band-bellied Owl	0.1111111	0.16	0.1153846	0.1052632	0.0833333	0.0	0.1304348	0.25	0.0	0.1666667	0.0909091	0.2222222	0.0	0.5	0.047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.2	0.0015	0.5	0.0	0.1428571	0.0015	0.0909091	0.2222222	0.0	0.0	0.0	0.0	0.1	0.0	0.1111111	0.0	0.0	0.1666667	0.0	0.0	0.0015	
Ferruginous Pygmy-Owl	0.0	0.0	0.0769231	0.0526316	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	
Mottled Owl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rufous-banded Owl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Golden-headed Quetzal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	
Crested Quetzal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
