Rank,Species,wtd-rf,rfpc
156,White-flanked Antwren,0.038519226923076924,8.70642342815235
157,Ivory-billed Aracari,0.03851922307692308,8.706422558813928
158,Chivi Vireo,0.03851922307692308,8.706422558813928
159,Slate-throated Redstart,0.03851922307692308,8.706422558813928
160,Lemon-throated Barbet,0.03851922307692308,8.706422558813928
161,Plain-winged Antshrike,0.038519221153846143,8.706422124144716
162,Fasciated Antshrike,0.038519221153846143,8.706422124144716
163,Sooty-headed Tyrannulet,0.038519221153846143,8.706422124144716
164,White-bellied Pygmy-Tyrant,0.038519221153846143,8.706422124144716
165,Western Striolated-Puffbird,0.038461540384615384,8.693384655828245
166,Bicolored Hawk,0.038461540384615384,8.693384655828245
167,Ochre-throated Foliage-gleaner,0.038461538461538464,8.693384221159034
168,Olive-backed Woodcreeper,0.038461538461538464,8.693384221159034
169,Common Chlorospingus,0.038461538461538464,8.693384221159034
170,Chestnut-headed Crake,0.038461538461538464,8.693384221159034
171,Thrush-like Antpitta,0.038461538461538464,8.693384221159034
172,White-browed Antbird,0.038461538461538464,8.693384221159034
173,Black-crowned Tityra,0.03846153653846154,8.693383786489822
174,Piratic Flycatcher,0.03846153653846154,8.693383786489822
175,Plain-brown Woodcreeper,0.03846153461538462,8.693383351820613
176,Little Cuckoo,0.03846153076923077,8.693382482482189
177,Coppery-chested Jacamar,0.03846153076923077,8.693382482482189
178,Olive-chested Flycatcher,0.03846153076923077,8.693382482482189
179,Red-billed Parrot,0.03846153076923077,8.693382482482189
180,Violet-headed Hummingbird,0.03846153076923077,8.693382482482189
181,Hepatic Tanager,0.03846153076923077,8.693382482482189
182,Buff-throated Woodcreeper,0.03846152884615384,8.693382047812978
183,Purple Honeycreeper,0.03846152884615384,8.693382047812978
184,Gray-tailed Piha,0.01963461346153846,4.437972210232475
185,Buff-tailed Sicklebill,0.01949038461538461,4.40537245407234
186,Tropical Parula,0.01946153846153846,4.398852415906472
187,Black-and-white Seedeater,0.01946153076923077,4.398850677229627
188,Olivaceous Greenlet,0.01946153076923077,4.398850677229627
189,Pale-tailed Barbthroat,0.019403846153846153,4.385812339574733
190,Foothill Stipplethroat,0.019346153846153846,4.372772263242995
191,Rufous-tailed Foliage-gleaner,0.019288465384615386,4.359733056249678
192,White-lored Tyrannulet,0.019288465384615386,4.359733056249678
193,Stripe-chested Antwren,0.019288461538461536,4.359732186911255
194,Ornate Stipplethroat,0.019288461538461536,4.359732186911255
195,Royal Sunangel,0.019288461538461536,4.359732186911255
196,Gray Antbird,0.019288461538461536,4.359732186911255
197,Yellow-throated Tanager,0.019288461538461536,4.359732186911255
198,Black-faced Antbird,0.019288459615384612,4.359731752242044
199,Spot-backed Antbird,0.019288459615384612,4.359731752242044
200,Dusky Spinetail,0.019288459615384612,4.359731752242044
201,becard sp.,0.01923077307692308,4.34669297991794
202,Foothill Schiffornis,0.01923077307692308,4.34669297991794
203,Shiny Cowbird,0.01923077307692308,4.34669297991794
204,Strong-billed Woodcreeper,0.01923077307692308,4.34669297991794
205,Cinereous Antshrike,0.01923077307692308,4.34669297991794
206,Flame-faced Tanager,0.01923077307692308,4.34669297991794
207,Spectacled Bristle-Tyrant,0.01923077307692308,4.34669297991794
208,Little Woodpecker,0.01923077307692308,4.34669297991794
209,Golden-eared Tanager,0.01923077307692308,4.34669297991794
210,White-vented Euphonia,0.01923077307692308,4.34669297991794
211,Peruvian Racket-tail,0.019230769230769232,4.346692110579517
212,Hook-billed Kite,0.019230769230769232,4.346692110579517
213,Brown-billed Scythebill,0.019230769230769232,4.346692110579517
214,Ecuadorian Piedtail,0.019230769230769232,4.346692110579517
215,Saffron-crowned Tanager,0.019230769230769232,4.346692110579517
216,Masked Crimson Tanager,0.019230769230769232,4.346692110579517
217,Greenish Puffleg,0.019230769230769232,4.346692110579517
218,Chestnut-crowned Gnateater,0.019230769230769232,4.346692110579517
219,Vermilion Tanager,0.019230769230769232,4.346692110579517
220,euphonia sp.,0.019230769230769232,4.346692110579517
221,White-crowned Tapaculo,0.019230769230769232,4.346692110579517
222,Great Jacamar,0.019230769230769232,4.346692110579517
223,Slaty Antwren,0.019230769230769232,4.346692110579517
224,Green Jay,0.019230769230769232,4.346692110579517
225,Three-striped Warbler,0.019230769230769232,4.346692110579517
226,Bearded Guan,0.019230769230769232,4.346692110579517
227,White-throated Toucan,0.019230769230769232,4.346692110579517
228,Chestnut-bellied Thrush,0.019230769230769232,4.346692110579517
229,Rock Pigeon,0.019230769230769232,4.346692110579517
230,Violet-fronted Brilliant,0.019230769230769232,4.346692110579517
231,Yellow-bellied Seedeater,0.019230769230769232,4.346692110579517
232,Bright-rumped Attila,0.019230769230769232,4.346692110579517
233,Crimson-mantled Woodpecker,0.019230769230769232,4.346692110579517
234,Laughing Falcon,0.019230769230769232,4.346692110579517
235,Bran-colored Flycatcher,0.019230769230769232,4.346692110579517
236,Streak-necked Flycatcher,0.019230769230769232,4.346692110579517
237,Gould's Jewelfront,0.019230769230769232,4.346692110579517
238,Chestnut-collared Swift,0.019230769230769232,4.346692110579517
239,White-collared Swift,0.019230769230769232,4.346692110579517
240,Musician Wren,0.019230769230769232,4.346692110579517
241,Bar-winged Wood-Wren,0.019230769230769232,4.346692110579517
242,White-tipped Swift,0.019230769230769232,4.346692110579517
243,Amazonian Plain-Xenops,0.019230769230769232,4.346692110579517
244,Rufous-vented Whitetip,0.019230769230769232,4.346692110579517
